Feature,Importance
duration,0.48060038436999114
month,0.14315523457768747
contact,0.11462498288108688
pdays,0.0822302105977052
housing,0.05621955426415212
poutcome,0.04776094240733224
age,0.025720850824247663
day,0.01627908525385926
balance,0.01289469686647253
previous,0.007617707559828889
job,0.003326017442828712
campaign,0.0027689865049140934
education,0.00257527442693169
marital,0.002560856685002475
loan,0.0016652153379597225
default,0.0
